full_team_names,season,playoff
Carolina Hurricanes,20062007,TRUE
Edmonton Oilers,20062007,TRUE
Buffalo Sabres,20062007,TRUE
Anaheim Ducks,20062007,TRUE
San Jose Sharks,20062007,TRUE
New Jersey Devils,20062007,TRUE
Ottawa Senators,20062007,TRUE
Colorado Avalanche,20062007,TRUE
Calgary Flames,20062007,TRUE
Detroit Red Wings,20062007,TRUE
Philadelphia Flyers,20062007,TRUE
Montreal Canadiens,20062007,TRUE
Dallas Stars,20062007,TRUE
Tampa Bay Lightning,20062007,TRUE
Nashville Predators,20062007,TRUE
New York Rangers,20062007,TRUE
